datetime,ISIN,opening_price_eur,closing_price_eur,minimum_price_eur,maximum_price_eur,daily_traded_volume,StartPrice_eur,EndPrice_eur,desviacion_estandar,EndPrice_mxn
2022-12-31 10:15:00,DE000A14KRD3,13.8,13.45,13.45,13.95,3202,13.45,13.45,0.0,258.23999999999995
2022-12-31 08:02:00,DE000A161077,5.15,5.25,4.92,5.25,76899,4.92,4.92,0.0,94.464
2022-12-31 08:16:00,DE000A161234,15.0,15.5,14.0,15.6,2570,14.0,14.2,0.141421356237309,272.64
2022-12-31 08:02:00,DE000A161408,45.91,48.88,45.73,48.9,1800647,45.85,45.76,0.06363961030679169,878.592
2022-12-31 08:13:00,DE000A161N14,2.9,2.98,2.9,2.98,250,2.9,2.9,0.0,55.68
2022-12-31 08:00:00,DE000A161N30,25.3,26.01,24.74,26.08,43345,24.74,24.83,0.06363961030678918,476.73599999999993
2022-12-31 08:04:00,DE000A161NR7,4.885,4.845,4.715,5.05,51343,4.715,4.715,0.0,90.52799999999999
2022-12-31 08:02:00,DE000A1681X5,3.66,3.6,3.49,3.69,7077,3.52,3.49,0.021213203435596288,67.008
2022-12-31 09:56:00,DE000A168205,136.0,143.0,136.0,144.0,288,136.0,137.0,0.7071067811865476,2630.4
2022-12-31 08:03:00,DE000A1A6V48,4.51,4.5,4.26,4.61,1643,4.26,4.26,0.0,81.79199999999999
2022-12-31 08:53:00,DE000A1A6WE6,23.9,24.1,23.9,24.2,3304,23.9,23.9,0.0,458.87999999999994
2022-12-31 08:03:00,DE000A1DAHH0,73.24,74.88,73.0,75.4,847923,73.24,73.66,0.2969848480983512,1414.272
2022-12-31 08:09:00,DE000A1DCTL3,163.25,162.84,162.76,164.4,56188,162.76,162.76,0.0,3124.9919999999997
2022-12-31 08:04:00,DE000A1DFSA1,57.11,57.31,57.11,57.31,0,57.11,57.11,0.0,1096.512
2022-12-31 08:04:00,DE000A1DFSB9,28.902,28.798,28.798,28.902,0,28.798,28.798,0.0,552.9215999999999
2022-12-31 08:04:00,DE000A1DFSE3,39.926,39.858,39.848,39.926,645,39.848,39.852,0.0028284271247446227,765.1583999999999
2022-12-31 08:04:00,DE000A1DFSF0,39.592,39.656,39.592,39.656,0,39.592,39.592,0.0,760.1664
2022-12-31 08:04:00,DE000A1DFSG8,39.884,40.306,39.884,40.306,28,39.884,39.884,0.0,765.7728
2022-12-31 08:04:00,DE000A1DFSJ2,40.61,40.732,40.61,40.732,0,40.61,40.61,0.0,779.712
2022-12-31 08:09:00,DE000A1E0HR8,164.45,163.92,163.92,165.7,22102,163.92,163.92,0.0,3147.2639999999997
2022-12-31 08:04:00,DE000A1E0HS6,205.54,206.24,205.54,208.32,2562,205.54,205.58,0.02828427124747637,3947.136
2022-12-31 08:04:00,DE000A1EK0G3,121.74,122.1,121.71,123.07,25993,121.73,121.71,0.014142135623738184,2336.832
2022-12-31 08:04:00,DE000A1EK0H1,63.175,62.8,62.595,63.875,1315,62.595,62.595,0.0,1201.8239999999998
2022-12-31 08:04:00,DE000A1EK0J7,145.76,146.79,145.76,147.99,1109,145.76,145.76,0.0,2798.5919999999996
2022-12-31 08:04:00,DE000A1EK0P4,51.41,51.59,51.41,51.59,0,51.41,51.41,0.0,987.0719999999999
2022-12-31 08:04:00,DE000A1EK0V2,52.375,52.16,52.16,52.375,0,52.16,52.16,0.0,1001.4719999999999
2022-12-31 08:04:00,DE000A1EK0W0,31.792,32.106,31.792,32.106,304,31.792,31.792,0.0,610.4064
2022-12-31 10:30:00,DE000A1EMG56,0.534,0.576,0.534,0.576,3960,0.534,0.534,0.0,10.2528
2022-12-31 08:47:00,DE000A1EMHE0,5.35,5.4,5.35,5.5,729,5.35,5.4,0.03535533905932788,103.68
2022-12-31 08:24:00,DE000A1EWVY8,46.5,48.0,45.05,48.2,3827,45.05,45.05,0.0,864.9599999999999
2022-12-31 08:02:00,DE000A1EWWW0,209.25,212.05,206.5,212.6,1320925,206.6,206.55,0.035355339059315316,3965.76
2022-12-31 09:32:00,DE000A1EWXA4,1.93,1.97,1.9,1.99,45063,1.9,1.9,0.0,36.48
2022-12-31 08:02:00,DE000A1H8BV3,30.2,31.02,30.14,31.18,42953,30.14,30.14,0.0,578.688
2022-12-31 08:00:00,DE000A1J5RX9,2.42,2.445,2.397,2.456,6523512,2.398,2.399,0.0007071067811864697,46.0608
2022-12-31 09:53:00,DE000A1K0201,22.1,22.5,21.5,22.6,22069,21.5,21.7,0.141421356237309,416.64
2022-12-31 08:04:00,DE000A1K0235,16.42,17.32,16.4,17.34,51540,16.42,16.62,0.141421356237309,319.104
2022-12-31 08:02:00,DE000A1K0375,7.8,7.75,7.75,7.8,512,7.75,7.75,0.0,148.79999999999998
2022-12-31 09:21:00,DE000A1K03W5,1.955,1.9,1.9,1.955,9,1.9,1.9,0.0,36.48
